Project Name,Project Description,Archive_Project Type,Project Manager,Region,Department,Project Cost,Project Benefit,Complexity,Status,Completion%,Project duration,Start Date,End Date,Business criticality,project_cost_score,project_benefit_score,complexity_score,completion%_score,project_duration_score,end_date_score,business_criticality_score,total_score
Rhinestone,Associations Now Is A Casual Game To Teach You How .Io Algorithmically Creates Content For You. It Is The World First Game For Content Marketing Education. Find Out How Your Topic Is Used In The Wild.,Mobile App,Yael Wilcox,North,Admin & BI,"3,648,615.00","8,443,980.00",High,In - Progress,77%,2,2/1/2021,6/1/2021,Legally required/Key market project,3,3,4,4,2,4,4,24
A Triumph Of Softwares,Is A Fully Managed Content Marketing Software Deal For Saas Companies Who Want To Focus On Their Customers And The Big Idea In 2018.,Mobile App,Brenda Chandler,West,eCommerce,"4,018,835.00","9,012,225.00",High,Cancelled,80%,3,3/1/2021,6/1/2021,Function/Business priority (OMP),3,3,4,4,2,4,3,23
The Blue Bird,"Most Content Marketers Know The Golden Rule: You Must Put Quality Content First. Is A Solution For Founders Who Want To Win At Content Marketing, And It Helps You Create Content Faster With State Of The Art Ai Generation. Our Proprietary Ai Analyzes The Content Of Your Competitors And Helps You Generate Optimized Content Faster.",Mobile App,Nyasia Hunter,North,Warehouse,"4,285,483.00","9,078,339.00",High,Completed,100%,3,3/1/2021,6/1/2021,Globaly required,3,3,4,4,2,4,2,22
Remembering Our Ancestors,"Utilize And Utilizes (Verb Form) The Open, Inclusive, And Uncontrollable Content Marketplace To Make Your Brand The Top Content Site For Your Topic.",ML and AI App,Brenda Chandler,East,Sales and Marketing,"5,285,864.00","8,719,006.00",High,Cancelled,75%,3,3/1/2021,6/1/2021,Acceptable workaround available – “nice to have” project,4,3,4,4,2,4,1,22
Skyhawks,"Is A Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation.",Web and Mobile,Jaylyn Mckenzie,East,eCommerce,"5,785,601.00","8,630,148.00",High,Completed,100%,3,3/1/2021,6/1/2021,Legally required/Key market project,4,3,4,4,2,4,4,25
The Coding Master,"Association Now Operates Like An Ai Editor, Working Invisibly Behind The Scenes To Help Brands Create Optimized Content. Associations Now Ai Platform Analyzes The Competition For Your Topic. When Your Ai Content Is Complete, It’S Custom-Printed, Personalized, And Delivered To Your Audience.",ML and AI App,Nyasia Hunter,West,Sales and Marketing,"3,326,031.00","8,504,224.00",Medium,In - Progress,77%,3,3/1/2021,6/1/2021,Function/Business priority (OMP),3,3,3,4,2,4,3,22
"Fierce, Inc.","While Traditional Marketing Approaches Have Never Been More Expensive, Is A Solution For Founders Who Want To Win At Content Marketing. Our Team Of Experienced Marketers Has Created A Proprietary Algorithm, Which Is Continuously Learned And Improved.",Web App,Brenda Chandler,North,Warehouse,"4,557,606.00","9,014,448.00",High,Completed,100%,4,4/1/2021,7/1/2021,Globaly required,3,3,4,4,2,4,2,22
Mo-Money Masterclass,Associations Now Helps It Departments And Association Leaders Stay Ahead Of The Cyber-Threat Tidal Wave With Customized Security Solutions And Cybersecurity Strategies. Our Customers Include Is The Boards Of Governors Of The Most Famous And Influential Associations In The World.​​,Web and Mobile,Yael Wilcox,West,Warehouse,"3,190,009.00","8,674,613.00",High,Completed,100%,4,4/1/2021,7/1/2021,Acceptable workaround available – “nice to have” project,3,3,4,4,2,4,1,21
Town Hall Meeting,"Was Founded By A Group Of Marketers Who Were Tired Of Relying On Content Creation Scripts And Templates, And Wanted To Run A Business With The Perfect Balance Of Creativity And Efficiency. We Believe That Automation Is The Key To Optimizing The Way We Create And Consume Content And We Want To Give Founders And Marketers The Same Tools We Use To Scale Our Own Content Marketing Efforts.",Web App,Nyasia Hunter,North,eCommerce,"3,442,649.00","9,070,797.00",Low,Completed,100%,5,5/1/2021,8/1/2021,Legally required/Key market project,3,3,2,4,2,4,4,22
Yosemite,You Are Leading Upstart On A Journey To Build Your Company. That Where The Journey Ends. Let Get You Over The Hump. We Are Just Two Industry Veterans Busy Building Our Own Company. We Know What It Like.,Web and Mobile,Kamari Norris,South,Supply Chain,"3,475,275.00","8,994,585.00",Low,On - Hold,90%,5,5/1/2021,8/1/2021,Function/Business priority (OMP),3,3,2,4,2,4,3,21
